NU_ANO;CO_ENTIDADE;TP_SITUACAO_FUNCIONAMENTO;TP_FALTANTE;CO_UF;CO_MUNICIPIO;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;TP_CATEGORIA_ESCOLA_PRIVADA;IN_LOCAL_FUNC_PREDIO_ESCOLAR;IN_LOCAL_FUNC_SOCIOEDUCATIVO;IN_LOCAL_FUNC_UNID_PRISIONAL;IN_LOCAL_FUNC_PRISIONAL_SOCIO;IN_LOCAL_FUNC_GALPAO;IN_LOCAL_FUNC_SALAS_OUTRA_ESC;IN_LOCAL_FUNC_OUTROS;IN_PREDIO_COMPARTILHADO;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_FOSSA;IN_ESGOTO_INEXISTENTE;IN_LIXO_SERVICO_COLETA;IN_LIXO_QUEIMA;IN_LIXO_ENTERRA;IN_LIXO_DESTINO_FINAL_PUBLICO;IN_LIXO_DESCARTA_OUTRA_AREA;IN_TRATAMENTO_LIXO_SEPARACAO;IN_TRATAMENTO_LIXO_REUTILIZA;IN_TRATAMENTO_LIXO_RECICLAGEM;IN_TRATAMENTO_LIXO_INEXISTENTE;IN_BANHEIRO;IN_BANHEIRO_PNE;IN_BIBLIOTECA_SALA_LEITURA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_QUADRA_ESPORTES;QT_SALAS_UTILIZADAS;IN_COMPUTADOR;IN_EQUIP_MULTIMIDIA;QT_EQUIP_MULTIMIDIA;IN_DESKTOP_ALUNO;QT_DESKTOP_ALUNO;IN_COMP_PORTATIL_ALUNO;QT_COMP_PORTATIL_ALUNO;IN_TABLET_ALUNO;QT_TABLET_ALUNO;IN_INTERNET;IN_INTERNET_ALUNOS;IN_ACESSO_INTERNET_COMPUTADOR;IN_BANDA_LARGA;QT_PROF_COORDENADOR;QT_PROF_FONAUDIOLOGO;QT_PROF_NUTRICIONISTA;QT_PROF_PSICOLOGO;QT_PROF_PEDAGOGIA;IN_ALIMENTACAO;IN_ORGAO_ASS_PAIS;IN_ORGAO_ASS_PAIS_MESTRES;IN_ORGAO_CONSELHO_ESCOLAR
2023;11000000;1;0;00000005;00005116;3;2;;;;0;0;0;;;;0;1;1;1;0;;;;;;0;;0;;1;0;;0;;;;;0;;0;1;0;0;0;0;;;;;;;;;8.18776773812715;0;0;1;0;0;1;0;0;;;2;1;0;;1
2023;11000001;1;;00000002;00004876;4;2;;;;0;;0;0;0;0;;;1;;0;;;1;0;;1;0;;0;;0;1;;0;;;;0;1;;1;;;0;;;6;1;0;;0;;;0;0;;1;;9;;0;0;1;0;0;;0;0;1
2023;11000002;4;;00000024;00003303;4;1;0;;1;;0;;0;0;;0;;;0;0;;;;0;;0;0;;0;1;0;1;;;0;0;0;;0;1;;1;0;;0;;;1;0;1;0;;0;2.2285482060397;0;;;;;0;6;0;1;;3;;0;;1
2023;11000003;2;0;00000007;00001769;3;1;0;;;0;;0;0;0;0;;1;0;;;0;0;;0;0;0;1;;0;;0;1;;;0;0;1;0;0;1;;0;0;;;;;1;;;1;0;0;0;;0.635706406319514;;0;0;1;0;0;1;0;1;1;0;0;1
2023;11000004;4;;00000007;00004537;3;2;0;;1;;;0;0;0;;1;1;1;0;;0;0;1;0;0;;;0;1;0;0;;0;;0;0;0;;0;0;;1;;0;;1;15;;1;;1;0;;;1;0;;0;0;1;;;;;;;0;0;1
2023;11000005;4;0;00000018;00001050;4;1;;;;0;;;;0;0;0;1;;0;0;1;;1;;0;0;1;;0;1;0;1;0;;;0;0;;;0;;;;0;;1;7;1;0;0;;6.77949911972974;0;0;0;;;1;;1;;;0;;1;;0;;1
2023;11000006;1;0;00000009;00004708;3;2;0;;1;;0;0;0;;0;0;1;1;0;0;0;0;1;1;0;;1;0;0;1;0;1;;;0;0;0;;;1;1;0;0;1;;1;;1;0;;1;0;1;;;6.49617205141112;1;0;;1;;;;0;6;;;;
2023;11000007;1;;00000005;00002668;2;2;0;;1;0;0;0;;0;;;;;;0;0;;;;;0;;;0;;0;0;;0;;0;0;0;0;1;;0;1;0;;;;;1;0;1;;;;;2.05221057985909;1;1;;;1;0;;0;88888;1;;;0
2023;11000008;4;0;00000015;00002071;3;2;0;;1;0;0;0;0;0;0;0;;1;;0;;0;1;;0;0;;;0;;;;0;0;0;1;;;;1;1;0;0;0;0;1;10;1;;;;0;0;;1;2.38702669448685;1;;0;;0;;;0;;1;0;0;1
2023;11000009;1;;00000010;00002516;2;1;;1;;;;;;0;0;;1;1;0;0;;;1;;0;;0;0;0;;0;1;0;;0;;0;;0;0;;1;1;1;;0;11;1;;;1;0.549411036772654;;0;1;0;1;0;;1;0;0;;0;0;1;0;0;
2023;11000010;1;0;00000008;00001620;3;2;0;;1;0;0;0;0;0;;;;;;;;0;;0;;0;0;0;0;0;0;;0;0;;0;0;;0;0;1;1;0;0;;1;13;;;1;;0;;;;;;1;0;1;;0;0;;;;;1;1
2023;11000011;1;0;00000002;00000670;2;1;;;;0;;0;;0;;1;1;;;;;0;1;;;;;0;0;1;;1;0;;0;0;1;0;;1;1;1;1;0;1;0;;1;1;1;;;;0;0;0;1;1;;1;0;0;0;;1;;;1;
2023;11000012;1;0;00000001;00004945;3;2;;;;0;0;0;;;0;;1;1;0;0;;0;1;;0;0;;0;0;;0;;;;0;0;1;0;0;;1;0;0;0;;1;;1;;1;0;;;0;;4.2080688115675;1;;;;0;0;;0;1;1;0;0;1
2023;11000013;4;0;00000016;00000954;4;2;;;1;0;;0;0;0;0;0;1;;;;0;;;;;0;0;1;;1;;;1;0;0;0;1;0;;1;;0;0;1;1;0;1;;0;;;0;0;;;0;;1;0;;;0;;0;;;0;;
2023;11000014;2;0;00000018;00003477;4;2;;;;;;0;;0;;;;1;;;0;0;1;;0;0;0;0;0;;;1;;1;0;0;;;0;;;;;0;0;;4;0;;4;0;0;0;0;0;;1;0;0;1;0;0;0;;6;;;;1
2023;11000015;4;;00000027;00003997;2;1;0;;;;0;0;;0;0;0;1;1;;;0;;1;;0;0;;1;;;0;1;0;0;0;0;;;1;;1;0;;;1;0;;1;0;10;;19.810103112366;;0;0;1.67799446207937;1;;;;2;0;1;0;;;0;;0
2023;11000016;1;0;00000020;00004034;3;2;0;;1;0;;;0;0;0;;1;1;1;;0;0;;0;0;0;0;1;0;0;;0;0;0;0;0;;0;;0;;1;0;;;;17;1;;2;1;4.49191620631609;1;;0;;;0;1;1;0;0;;1;1;1;0;;1
2023;11000017;4;0;00000016;00005332;3;1;3;;1;0;0;0;0;0;0;0;0;0;;;0;0;1;0;;;;1;0;0;0;;;0;0;;;0;0;1;;;1;;;1;;;;0;1;3.40563669451512;0;17.55811562296;;;1;1;;;;0;0;0;;1;0;;
2023;11000018;4;;00000017;00002443;2;2;;1;;0;0;;0;;1;0;;;0;0;;;1;0;;0;1;0;;;;;0;0;0;;0;0;0;0;1;;0;0;0;1;;;1;1;;;;0;;0;;1;0;;;;1;0;2;;;0;1
2023;11000019;1;0;00000027;00003767;3;1;1;1;;;;;0;0;;;1;0;0;0;0;0;1;0;;0;;;;0;0;1;0;0;;0;0;;0;;;;;0;;1;14;1;;3;;13.2713760068873;1;3.67210515250918;0;0;1;0;;;2;;0;1;2;1;0;1;
2023;11000020;1;;00000020;00002232;4;1;;;1;0;0;;;0;;;1;1;0;;0;0;1;;0;0;1;;;0;;0;;0;0;;0;0;0;;1;;;;1;;;;1;1;;;;0;0;0;1;1;;1;1;0;0;0;;0;0;;1
2023;11000021;4;0;00000020;00003385;4;2;0;;1;;0;0;0;0;0;;;1;1;0;0;0;;;0;;1;0;1;;0;;0;;;0;;0;0;;1;;;0;1;;;;;1;1;0;;;;;;;0;1;4;0;0;0;1;1;0;1;
2023;11000022;4;;00000024;00000496;3;1;0;;;;;0;0;0;;0;;1;0;0;0;0;1;;0;0;;;;1;0;1;;0;;;;0;0;1;1;0;1;;;1;;1;0;0;0;;1;14.3090071796905;;;;0;;1;1;;0;0;1;1;;0;
2023;11000023;4;0;00000022;00001917;4;2;;;1;0;0;0;;;;;1;1;0;;;0;;0;;0;;;;0;0;;0;0;;;;0;0;;;1;;;;1;8;1;0;0;0;0;;12.7810757694533;0;;;;;;2;;;0;;1;;;
2023;11000024;4;0;00000026;00001837;3;1;0;1;;;;;0;0;;0;1;1;0;0;0;0;1;0;0;0;1;0;;;;;0;;0;0;;;0;0;;;0;;;0;12;;;;0;;0;0;;;1;;1;0;;0;;;1;1;0;0;0
2023;11000025;1;0;00000002;00001705;3;1;;;1;0;0;;0;;0;;1;1;;;0;;;;;;;;;;;1;0;;;;0;0;0;;1;;1;0;1;0;5;;;0;;24.9353467063047;;;0;;1;1;0;1;;0;0;0;0;1;;0;
2023;11000026;1;0;00000016;00000638;3;1;0;1;1;;;0;0;;;;1;;;0;0;;1;;0;0;0;0;0;;;1;0;0;0;0;;0;0;0;1;0;0;0;1;;13;0;1;0;;0;0;;0;0;;0;;1;0;;;;;;;1;1
2023;11000027;1;;00000006;00004592;4;2;0;1;;;0;0;0;;;0;;1;0;1;0;0;1;0;;0;1;0;0;;;1;0;0;0;0;;;;1;;;;0;;;;;0;;;;1;0;0;;0;0;1;1;0;;;0;2;;;0;1
2023;11000028;1;0;00000008;00000617;3;2;1;;1;;;0;0;0;0;0;1;1;;;;0;1;0;;0;;;1;0;;;0;0;0;;;;1;;1;;;0;0;;2;1;;10;;0;;0;0;2.3625113099115;;0;;;;0;0;1;;1;0;;
2023;11000029;2;0;00000001;00004601;3;2;;;1;0;;0;0;;0;0;1;1;;0;;;1;0;0;0;1;0;;1;;1;0;;;;0;0;;;1;0;;0;0;0;1;1;1;1;1;;0;;0;0;1;1;0;1;0;0;;;1;;;;1
2023;11000030;4;0;00000012;00002646;3;2;;;1;0;0;0;0;0;;0;1;;;;0;0;1;0;0;0;1;;;1;;;0;;;;;0;0;;1;1;;1;1;;;1;1;;;0;;;0;2.38630280946381;0;;9;;;0;;0;1;1;;0;
