NU_ANO;CO_PESSOA_FISICA;ID_MATRICULA;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;ID_TURMA;CO_ENTIDADE
2023;1000000001;600000001;27;2;2;1;;00002641;00000009;00000014;;2;0;0;;;;;;0;;0;;;0;1;0;0;60000008;11000001
2023;1000000004;600000002;12;1;3;1;;00004923;00000004;00000026;;1;0;0;;;;0;;0;;;;;0;1;0;0;60000117;11000016
2023;1000000005;600000003;13;2;1;1;;00000324;00000001;00000009;00000927;1;0;0;;0;;;;;;;;;0;1;0;0;60000176;11000025
2023;1000000006;600000004;10;2;3;1;;00002429;00000001;00000023;00005364;1;0;0;;0;1;;;;0;;;;0;1;0;0;60000072;11000010
2023;1000000007;600000005;20;2;3;1;;00000642;00000006;00000012;;1;0;0;;0;;;;;;;;;0;1;0;0;60000171;11000024
2023;1000000008;600000006;12;1;3;1;;00003743;00000001;;00000120;1;0;0;;;1;;;;;;0;;0;1;0;0;60000092;11000013
2023;1000000009;600000007;11;1;0;1;;00004867;00000008;00000002;;2;0;0;;;;;;;;0;0;;0;1;0;0;60000131;11000018
2023;1000000010;600000008;14;2;1;1;;00000308;00000009;00000025;;1;0;1;;;;0;;;;;;;0;1;0;0;60000154;11000021
2023;1000000011;600000009;11;2;3;1;;00003378;00000005;00000007;00002685;1;0;0;0;;1;;;;;0;;;0;1;0;;60000185;11000026
2023;1000000017;600000010;18;1;0;1;;00001680;00000003;00000002;00004580;1;0;0;;0;1;0;;;;;0;0;0;1;0;1;60000106;11000015
2023;1000000019;600000011;22;1;1;1;;00005509;00000002;00000027;00002006;1;0;0;;;;;;;;;0;;0;1;0;0;60000050;11000007
2023;1000000021;600000012;20;2;1;1;;00003809;00000007;00000024;00002821;1;0;0;;;;0;;;;0;;;0;1;0;1;60000202;11000028
2023;1000000023;600000013;29;1;1;1;;00001085;00000002;00000021;;1;0;1;;0;;;;;;0;;0;0;1;0;0;60000132;11000018
2023;1000000026;600000014;21;2;3;1;;00000864;00000004;00000011;;1;0;0;;;;;;;;;;;0;1;0;1;60000172;11000024
2023;1000000027;600000015;25;2;0;1;;00002176;00000002;00000007;;1;0;0;0;0;;;;0;0;0;;0;0;1;0;0;60000068;11000009
2023;1000000028;600000016;14;1;1;1;;00005195;00000004;;;1;0;1;;1;;0;;;;0;;;0;1;0;1;60000122;11000017
2023;1000000029;600000017;9;1;1;1;;00005232;00000008;00000001;00004239;1;0;0;;;;;;;;0;;;0;1;0;1;60000040;11000005
2023;1000000030;600000018;10;2;0;1;;00004432;00000004;00000027;00005448;1;0;0;;;;;;;;;0;;0;1;0;0;60000189;11000026
2023;1000000032;600000019;21;2;0;1;;00005406;00000006;;00005428;1;0;1;;;;;;;;;;;0;1;0;0;60000071;11000010
2023;1000000033;600000020;11;2;0;1;;00002674;00000008;;;1;0;0;0;;1;0;;;;;;;0;1;0;0;60000203;11000028
2023;1000000035;600000021;9;2;1;1;;00004920;00000002;;00002521;1;0;0;0;;;;;;0;;;0;0;1;0;0;60000050;11000007
2023;1000000036;600000022;19;2;1;1;;00002841;00000001;00000024;00003016;1;0;0;;;;;;;;;;;0;1;0;0;60000073;11000010
2023;1000000037;600000023;16;1;3;1;;00004346;00000009;00000003;00002117;1;0;1;;;;;;;;;;;0;1;0;0;60000042;11000005
2023;1000000038;600000024;25;1;1;1;;00003575;00000008;00000004;;2;0;0;;;;;;;;;;;;;0;0;60000198;11000028
2023;1000000039;600000025;22;1;1;1;;00000699;00000003;;00001753;1;0;0;;;;;;;;0;0;;0;1;0;0;60000078;11000011
2023;1000000046;600000026;8;1;0;1;;00003455;00000005;00000011;;1;0;1;;;;;;;;0;;0;0;1;0;0;60000040;11000005
2023;1000000047;600000027;12;2;1;1;;00002409;00000008;;00001015;1;0;0;;;0;;0;;;;;;0;1;0;0;60000042;11000005
2023;1000000049;600000028;12;1;1;1;;00003014;00000002;;00003009;1;0;1;;;;;0;;;;;;0;1;0;;60000052;11000007
2023;1000000050;600000029;15;1;0;1;;00000678;00000004;;00002037;2;0;0;0;;;;;;;;;;0;1;1;0;60000053;11000007
2023;1000000053;600000030;23;1;0;1;;00003958;00000008;;00000516;1;0;0;;;;;0;;;;;;0;1;0;;60000184;11000026
2023;1000000055;600000031;10;1;1;1;;00001502;00000006;00000014;00004886;2;0;0;;;;;0;0;;;;;0;1;0;0;60000143;11000020
2023;1000000056;600000032;11;1;0;1;;00001207;00000004;00000023;00001366;1;0;1;;;;;;0;;;0;;0;;1;0;60000116;11000016
2023;1000000057;600000033;20;2;3;1;;00001039;00000002;00000013;;1;0;0;;;;;;0;;;;;0;1;0;0;60000054;11000007
2023;1000000060;600000034;11;1;1;1;;00003452;00000002;00000024;;1;0;0;;;;;;;;;;;;1;0;1;60000161;11000022
2023;1000000064;600000035;9;1;3;1;;00000155;00000007;;00000974;1;0;0;;;;;;;0;0;;;0;1;0;0;60000156;11000022
2023;1000000065;600000036;20;1;3;1;;00005401;00000008;;;1;0;0;;;;;;;;;;;0;1;0;0;60000074;11000010
2023;1000000066;600000037;17;2;3;1;;00003151;00000007;;00000307;2;0;0;;;;0;;;;;;0;0;1;0;0;60000022;11000003
2023;1000000067;600000038;9;1;3;1;;00000861;00000001;00000002;00004310;1;0;0;0;;;;;;0;0;;;0;1;0;0;60000171;11000024
2023;1000000068;600000039;11;2;0;1;;00004259;00000001;00000003;;1;0;0;0;0;;;;;;0;;;0;1;0;0;60000073;11000010
2023;1000000069;600000040;16;1;0;1;;00003104;00000009;00000027;00004628;1;0;0;;1;;;0;;;;0;;0;1;0;0;60000140;11000019
2023;1000000070;600000041;19;2;1;1;;00001515;00000009;;00001744;1;0;0;;;;;;;;;0;;0;0;0;0;60000032;11000004
2023;1000000071;600000042;20;2;0;1;;00000911;00000008;;00000717;1;0;0;;;;;;0;;;;;0;1;0;0;60000042;11000005
2023;1000000072;600000043;16;2;3;1;;00002673;00000008;00000016;;1;0;0;;;;;;;;;;;0;1;0;0;60000128;11000018
2023;1000000073;600000044;14;1;3;1;;00002485;00000002;00000010;;1;0;0;;0;;;;;;;;;0;1;0;0;60000050;11000007
2023;1000000074;600000045;16;2;0;1;;00003494;00000004;;;1;0;0;;;;;;;;;;;0;1;0;0;60000055;11000007
2023;1000000075;600000046;11;2;2;1;;00002318;00000003;;00000058;1;0;0;;;;;;;0;;;;0;0;;0;60000050;11000007
2023;1000000077;600000047;15;1;0;1;;00002768;00000006;00000015;00000879;1;0;0;;;;;;0;;;;0;0;1;0;0;60000087;11000012
2023;1000000078;600000048;13;1;0;1;;00004362;00000003;00000020;;1;0;1;0;;;;0;;0;0;;;0;;0;0;60000088;11000012
2023;1000000079;600000049;19;2;0;1;;00000186;00000004;00000011;00001889;1;0;;;;;;;;0;;0;;0;;0;0;60000005;11000000
2023;1000000080;600000050;22;1;3;1;;00002423;00000001;;00003982;1;0;0;;;;;;;;0;;;0;1;0;0;60000128;11000018
2023;1000000082;600000051;15;2;3;1;;00004545;00000006;00000016;;1;0;0;0;0;;0;;;;;;;0;1;0;0;60000158;11000022
2023;1000000083;600000052;12;2;0;1;;00003740;00000002;00000004;;1;0;0;;1;;;0;;;;0;;0;1;0;0;60000106;11000015
2023;1000000084;600000053;23;1;3;1;;00000138;00000003;00000003;00004580;1;0;0;;;1;;;;;;;;0;1;0;0;60000179;11000025
2023;1000000085;600000054;22;1;0;1;;00001520;00000008;;;2;0;0;;;;;;0;;0;;;0;1;0;1;60000165;11000023
2023;1000000086;600000055;16;1;3;1;;00001070;00000006;;00003065;1;0;0;;;;;;;;0;0;;0;1;;0;60000084;11000011
2023;1000000087;600000056;18;1;3;1;;00000697;00000003;;;1;0;0;;;;;;0;;;;;0;;0;0;60000054;11000007
2023;1000000088;600000057;18;1;3;1;;00001152;00000001;;;2;0;0;0;;;;;;0;;0;;0;1;0;0;60000054;11000007
2023;1000000089;600000058;17;2;3;1;;00001543;00000006;;;1;0;0;0;0;;;0;;;;;;0;0;0;0;60000171;11000024
2023;1000000091;600000059;19;2;3;1;;00005227;00000009;00000016;00001179;1;0;0;;0;0;;;;;;;;0;1;0;0;60000030;11000004
2023;1000000092;600000060;16;1;3;1;;00002538;00000007;00000007;00002144;1;0;0;;;1;0;;0;;;0;;0;1;;0;60000141;11000020
2023;1000000093;600000061;26;1;3;1;;00001952;00000003;;;1;0;0;;;;;;0;;;0;;0;1;0;0;60000132;11000018
2023;1000000094;600000062;7;2;3;1;;00001148;00000008;00000015;00002563;1;0;0;;;;;;0;;;;;0;1;0;0;60000156;11000022
2023;1000000095;600000063;10;2;1;1;;00000279;00000009;00000022;;1;0;0;0;1;;;;;;;;;0;0;0;0;60000125;11000017
2023;1000000096;600000064;15;1;1;1;;00004324;00000008;00000012;00004307;1;0;1;;0;;;;;;;;;0;;0;0;60000096;11000013
2023;1000000097;600000065;13;1;0;1;;00001870;00000008;;00004640;1;0;1;;;;0;0;;;;;;0;;0;0;60000092;11000013
2023;1000000098;600000066;10;1;1;1;;00000703;00000004;00000018;00004654;1;1;1;;1;;;;;;;;;0;1;0;0;60000131;11000018
2023;1000000101;600000067;16;1;3;1;;00000612;00000003;;00003745;1;0;0;;;;;0;1;;;;;0;1;0;;60000207;11000029
2023;1000000102;600000068;16;2;0;1;;00002320;00000009;00000013;00003508;1;0;0;0;;;;0;;0;0;;0;0;1;0;0;60000091;11000012
2023;1000000106;600000069;10;1;1;1;;00001127;00000004;00000015;00002902;1;0;0;0;;;;;;;;;;0;1;0;0;60000137;11000019
2023;1000000107;600000070;10;2;0;1;;00005179;00000001;00000026;00005170;1;0;0;;;;;;;;;;;0;1;0;0;60000097;11000013
2023;1000000108;600000071;13;1;5;1;;00002214;00000008;;00004456;1;0;0;;0;;;0;;;;;0;0;1;0;1;60000142;11000020
2023;1000000109;600000072;19;1;3;1;;00004425;00000004;00000017;00001893;1;0;0;;;1;0;0;;0;;;0;0;1;0;;60000201;11000028
2023;1000000110;600000073;22;1;3;1;;00002238;00000009;00000004;00005089;1;0;1;;;1;0;0;;;;;;0;1;1;0;60000022;11000003
2023;1000000111;600000074;9;1;1;1;;00003661;00000001;00000025;00004546;2;1;0;0;1;;;;;;0;0;;0;1;;0;60000182;11000025
2023;1000000113;600000075;14;2;3;1;;00002990;00000001;00000013;;1;0;0;;;1;;;;0;;;;;1;0;0;60000116;11000016
2023;1000000119;600000076;9;1;1;1;;00001972;00000006;00000009;00000648;2;0;0;;;;;;1;0;;;;0;1;;0;60000135;11000019
2023;1000000120;600000077;15;2;3;1;;00002860;00000004;00000001;00003998;1;0;0;;;;0;0;;;;;;0;1;0;0;60000047;11000006
2023;1000000122;600000078;22;1;0;1;;00000318;00000001;;;1;0;0;;;;;;;;;;;0;0;;0;60000016;11000002
2023;1000000124;600000079;11;1;0;1;;00003352;00000007;00000013;00004808;1;0;0;;;;0;;;0;0;;;;1;0;0;60000117;11000016
2023;1000000126;600000080;7;2;0;1;;00005204;00000001;00000027;;1;0;0;;0;;;;;;;0;;0;1;0;0;60000156;11000022
2023;1000000128;600000081;16;2;3;1;;00004786;00000006;00000024;;1;0;0;;;;;;;;;;;0;;0;;60000142;11000020
2023;1000000132;600000082;12;1;0;1;;00004791;00000001;00000006;00000374;2;0;0;;0;;;;;;;;;0;1;0;0;60000006;11000000
2023;1000000133;600000083;27;1;2;1;;00003391;00000001;00000001;;2;0;1;;;;0;;0;;0;;;0;1;;;60000179;11000025
2023;1000000134;600000084;9;2;1;1;;00001996;00000005;;00002297;1;0;0;;0;;0;;;;0;0;0;0;0;0;0;60000050;11000007
2023;1000000135;600000085;22;1;0;1;;00002464;00000005;;00001355;1;0;0;;;;;;;;;;;0;1;0;1;60000017;11000002
2023;1000000138;600000086;10;2;1;1;;00001183;00000003;;;1;0;1;;;;0;;;0;;;;0;0;0;0;60000095;11000013
2023;1000000139;600000087;12;2;3;1;;00005463;00000006;00000013;00000671;1;1;0;;;0;;;;;;;;0;1;0;0;60000180;11000025
2023;1000000141;600000088;18;1;1;1;;00004228;00000009;00000023;;1;0;0;;;;;;;;0;;;0;1;0;;60000165;11000023
2023;1000000143;600000089;23;1;2;1;;00003666;00000007;00000012;00001253;1;0;0;0;;;;;;;;;;0;1;0;0;60000086;11000012
2023;1000000144;600000090;10;2;1;1;;00004648;00000009;;00004352;1;0;1;;0;;;;;;0;;0;0;1;0;0;60000171;11000024
2023;1000000145;600000091;23;2;3;1;;00000520;00000008;00000025;;1;0;0;;;;;;;;;;;0;1;0;0;60000186;11000026
2023;1000000146;600000092;20;2;0;1;;00000187;00000007;;00002825;1;0;0;;0;;;;;;;;0;0;1;0;0;60000046;11000006
2023;1000000150;600000093;11;2;0;1;;00005553;00000003;;;1;0;1;;;1;;;0;;;;;0;;0;0;60000111;11000015
2023;1000000151;600000094;15;2;1;1;;00004710;00000002;;00004165;1;0;1;;;;;;;;;;;0;1;1;0;60000105;11000014
2023;1000000153;600000095;21;1;1;1;;00001544;00000003;;;1;0;;;;;0;1;;0;0;;;0;1;0;0;60000074;11000010
2023;1000000154;600000096;11;2;0;1;;00003202;00000004;00000027;00001854;2;0;0;;;1;0;;;0;;0;;0;0;0;0;60000072;11000010
2023;1000000156;600000097;20;1;0;1;;00000762;00000003;;00004114;1;0;0;;;;;;;;;;;0;1;0;0;60000166;11000023
2023;1000000157;600000098;19;2;0;1;;00001730;00000005;;00003497;1;0;0;;;;;;;;;;;0;1;0;0;60000139;11000019
2023;1000000159;600000099;11;1;3;1;;00004971;00000004;00000005;00004779;1;0;1;;;1;;;;;;0;;0;1;0;0;60000122;11000017
2023;1000000160;600000100;26;1;1;1;;00003751;00000001;00000008;;1;0;1;;;;;;0;0;;;;0;1;0;0;60000214;11000030
2023;1000000162;600000101;22;1;0;1;;00001443;00000001;00000017;00001065;1;0;0;;;1;;;;0;;;;0;1;0;0;60000094;11000013
2023;1000000163;600000102;16;1;1;1;;00005275;00000008;00000005;00000653;1;0;0;;;;0;;;;;;;;1;1;0;60000069;11000009
2023;1000000164;600000103;13;2;3;1;;00003597;00000006;00000013;00004979;1;0;1;;1;;;;;;;0;;0;1;0;0;60000052;11000007
2023;1000000165;600000104;20;2;0;1;;00005538;00000002;;;1;0;0;;;;0;;;;0;;0;;1;0;0;60000050;11000007
2023;1000000167;600000105;17;1;3;1;;00000126;00000005;00000024;00003656;1;0;0;;;;;;;;0;0;;0;1;0;0;60000164;11000023
2023;1000000169;600000106;20;1;1;1;;00004250;00000005;;;1;0;1;0;;1;;;;0;;;;0;1;0;0;60000032;11000004
2023;1000000170;600000107;10;1;1;1;;00002910;00000006;00000018;00000304;1;1;0;;;;;0;;;0;0;;0;1;0;0;60000070;11000009
2023;1000000171;600000108;21;1;0;1;;00002705;00000009;00000019;00003279;1;0;0;;;;;;;;0;;;0;1;0;0;60000117;11000016
2023;1000000172;600000109;21;1;3;1;;00004950;00000002;00000007;;1;0;1;;;;;;;;;0;;0;1;0;0;60000072;11000010
2023;1000000173;600000110;14;2;0;1;;00004958;00000008;00000020;00000317;1;0;0;;;;;;;;;;;0;1;0;0;60000027;11000003
2023;1000000175;600000111;20;1;1;1;;00004230;00000002;00000015;;2;0;0;;;;;;;;;;;0;0;0;0;60000035;11000004
2023;1000000176;600000112;9;2;1;1;;00005007;00000009;;00005117;1;0;0;0;0;;;;;0;;;;0;1;0;0;60000074;11000010
2023;1000000177;600000113;22;1;1;1;;00004201;00000009;00000015;00004638;1;0;0;;;1;;;;0;;;;0;1;0;;60000096;11000013
2023;1000000178;600000114;23;2;0;1;;00005004;00000001;00000022;;2;0;0;;;;0;0;;;;;;0;1;0;0;60000113;11000016
2023;1000000183;600000115;17;2;0;1;;00002698;00000009;;00001197;1;0;1;0;0;;;;;;;;;0;1;1;0;60000053;11000007
2023;1000000184;600000116;10;1;3;1;;00001150;00000003;;00002658;1;0;1;;0;;;;;;;;;0;1;0;0;60000176;11000025
2023;1000000185;600000117;10;2;2;1;;00004396;00000005;00000020;00003404;1;0;0;;;;;;;0;;0;;0;1;0;0;60000131;11000018
2023;1000000186;600000118;7;1;0;1;;00001692;00000006;;00003804;1;0;1;;0;0;;;;;0;;;0;1;0;0;60000036;11000005
2023;1000000188;600000119;20;2;1;1;;00003747;00000004;;;1;0;0;;;;;;;;;;0;0;0;0;0;60000209;11000029
2023;1000000190;600000120;16;1;3;1;;00002115;00000001;00000020;00005070;1;0;0;;;1;;;0;;;;0;0;1;0;0;60000108;11000015
2023;1000000191;600000121;23;1;0;1;;00002461;00000002;;00005426;1;0;0;0;;0;0;;;;0;;;0;1;0;0;60000179;11000025
2023;1000000192;600000122;20;1;1;1;;00004851;00000005;00000015;00001348;2;0;0;;;;;;;;;0;;0;1;0;0;60000216;11000030
2023;1000000196;600000123;13;2;3;1;;00000288;00000002;00000002;00005320;1;0;0;;;0;;;;;;;;0;0;0;0;60000176;11000025
2023;1000000197;600000124;18;1;3;1;;00003821;00000002;00000012;00004462;1;0;0;;;;;;;;;0;;0;1;;0;60000201;11000028
2023;1000000198;600000125;10;1;3;1;;00000089;00000006;00000024;;1;0;0;;;;;0;0;;;;;0;1;0;0;60000194;11000027
2023;1000000199;600000126;10;2;1;1;;00000166;00000004;00000023;00002115;1;0;0;;;;;;;;;;;;1;0;0;60000112;11000015
2023;1000000200;600000127;8;2;3;1;;00003703;00000003;00000004;;1;0;0;;;1;;;;;;;;0;1;;0;60000006;11000000
2023;1000000201;600000128;13;1;3;1;;00005516;00000003;;00000132;1;0;0;;0;;0;;;;;;;0;1;;0;60000045;11000006
2023;1000000203;600000129;14;1;0;1;;00001168;00000004;;00002386;2;0;0;0;0;;;;;;;0;;0;1;0;0;60000009;11000001
2023;1000000204;600000130;20;2;1;1;;00001110;00000008;00000016;00000325;1;0;0;;;;;0;;;;;;0;1;0;0;60000206;11000029
2023;1000000205;600000131;14;1;3;1;;00000934;00000009;00000011;;1;0;0;;;;;;;0;;0;;0;0;;0;60000130;11000018
2023;1000000206;600000132;36;1;3;1;;00004151;00000001;00000023;00002119;1;0;0;;0;;;0;;;;;;0;1;0;0;60000039;11000005
2023;1000000207;600000133;14;1;0;1;;00003941;00000008;00000006;;1;0;0;;;;;0;;;0;;0;0;1;0;0;60000201;11000028
2023;1000000208;600000134;16;2;3;1;;00003898;00000002;00000018;;1;0;0;;;;;;;0;;;;0;1;0;0;60000141;11000020
2023;1000000209;600000135;17;2;0;1;;00004312;00000002;00000009;00002157;1;0;0;;;;;;;0;;;;0;1;0;0;60000120;11000017
2023;1000000210;600000136;13;2;3;1;;00004025;00000001;;00003506;1;0;0;;;;;;;0;;;;0;1;0;0;60000011;11000001
2023;1000000212;600000137;15;2;1;1;;00002865;00000002;;00001639;1;0;0;;;;0;;;0;0;;;0;1;;0;60000161;11000022
2023;1000000214;600000138;14;1;0;1;;00003571;00000006;00000026;00002716;1;0;1;;;;;;;;;0;;0;1;0;0;60000185;11000026
2023;1000000215;600000139;9;1;3;1;;00004119;00000001;;00001430;1;0;0;;;;;;;;;0;;0;1;0;0;60000143;11000020
2023;1000000217;600000140;15;2;3;1;;00000084;00000001;;00004932;1;0;0;;0;1;;;;0;0;;;0;1;0;0;60000164;11000023
2023;1000000218;600000141;13;2;1;1;;00000313;00000003;00000007;;1;0;1;;;1;;;;0;;;;0;0;0;0;60000111;11000015
