NU_ANO;ID_MATRICULA;CO_PESSOA_FISICA;IN_REGULAR;ID_TURMA;CO_ENTIDADE;TP_SITUACAO;IN_CONCLUINTE;IN_TRANSFERIDO
2017;1;1000000000;1;191;11000027;5;;0
2017;2;1000000001;;20;11000002;4;;0
2017;3;1000000002;1;71;11000010;5;;0
2017;4;1000000003;1;155;11000022;4;;0
2017;5;1000000004;1;117;11000016;9;;0
2017;6;1000000005;1;111;11000015;5;;0
2017;7;1000000006;1;112;11000015;5;;0
2017;8;1000000007;1;79;11000011;5;;0
2017;9;1000000008;1;169;11000024;5;;0
2017;10;1000000009;1;140;11000019;5;0;0
2017;11;1000000010;1;4;11000000;5;;0
2017;12;1000000011;0;68;11000009;9;;0
2017;13;1000000012;1;94;11000013;5;1;0
2017;14;1000000013;1;200;11000028;5;;0
2017;15;1000000014;1;130;11000018;4;;0
2017;16;1000000015;1;34;11000004;5;;0
2017;17;1000000016;1;106;11000015;5;;0
2017;18;1000000017;1;30;11000004;9;;0
2017;19;1000000018;;78;11000011;5;;0
2017;20;1000000019;1;196;11000027;5;;0
2017;21;1000000020;0;139;11000019;9;;0
2017;22;1000000021;1;12;11000001;9;;0
2017;23;1000000022;;143;11000020;5;;0
2017;24;1000000023;1;211;11000030;5;;0
2017;25;1000000024;1;115;11000016;9;0;0
2017;26;1000000025;0;85;11000012;5;;0
2017;27;1000000026;1;182;11000025;5;;0
2017;28;1000000027;1;181;11000025;5;;0
2017;29;1000000028;1;62;11000008;;;0
2017;30;1000000029;1;33;11000004;5;1;0
2017;31;1000000030;;202;11000028;5;;0
2017;32;1000000031;1;150;11000021;5;;0
2017;33;1000000032;1;179;11000025;5;;0
2017;34;1000000033;1;211;11000030;9;0;0
2017;35;1000000034;0;205;11000029;2;;0
2017;36;1000000035;1;44;11000006;4;;0
2017;37;1000000036;1;215;11000030;9;;1
2017;38;1000000037;1;203;11000028;5;1;0
2017;39;1000000038;1;2;11000000;5;1;0
2017;40;1000000039;1;1;11000000;5;;0
2017;41;1000000040;1;113;11000016;;;0
2017;42;1000000041;0;195;11000027;;;0
2017;43;1000000042;1;64;11000009;5;;0
2017;44;1000000043;1;103;11000014;4;;0
2017;45;1000000044;0;37;11000005;5;;0
2017;46;1000000045;1;93;11000013;9;;0
2017;47;1000000046;1;57;11000008;9;1;0
2017;48;1000000047;1;92;11000013;9;;0
2017;49;1000000048;1;193;11000027;9;;0
2017;50;1000000049;1;187;11000026;5;1;0
2017;51;1000000050;1;171;11000024;5;;0
2017;52;1000000051;1;188;11000026;4;1;0
2017;53;1000000052;1;217;11000030;5;;0
2017;54;1000000053;1;120;11000017;4;;0
2017;55;1000000054;;205;11000029;9;;0
2017;56;1000000055;;37;11000005;5;;0
2017;57;1000000056;1;10;11000001;5;;0
2017;58;1000000057;1;96;11000013;5;;0
2017;59;1000000058;1;32;11000004;5;;0
2017;60;1000000059;1;138;11000019;5;1;0
2017;61;1000000060;1;93;11000013;;;0
2017;62;1000000061;;142;11000020;5;;0
2017;63;1000000062;1;166;11000023;5;;0
2017;64;1000000063;0;77;11000010;9;0;0
2017;65;1000000064;1;179;11000025;5;1;0
2017;66;1000000065;0;21;11000002;5;;0
2017;67;1000000066;1;68;11000009;9;;0
2017;68;1000000067;1;136;11000019;5;;0
