NU_ANO;ID_TURMA;TP_MEDIACAO_DIDATICO_PEDAGO;NU_DIAS_ATIVIDADE;TP_ETAPA_ENSINO;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;QT_MATRICULAS;TX_HR_INICIAL;CO_ENTIDADE
2019;1;1;5;;1;0;0;8.46445922530256;7;11000000
2019;2;1;5;30;0;0;0;37.539550378453;7;11000000
2019;3;1;5;16;1;1;;33.9425434791483;7;11000000
2019;4;1;5;19;1;0;0;0.979344290681183;13;11000000
2019;5;1;5;21;1;0;0;19.8000536256004;18;11000000
2019;6;1;5;1;;;0;7.13093247171491;8;11000000
2019;7;1;5;14;1;0;1;7.18807413498871;7;11000000
2019;8;1;5;17;1;0;0;8.06557603552938;7;11000001
2019;9;1;3;2;1;0;;32.2197606527479;7;11000001
2019;10;1;5;2;1;0;0;1.15979337599128;13;11000001
2019;11;1;5;1;1;0;0;13.9594960308168;13;11000001
2019;12;1;5;;1;0;0;31.8695398323471;13;11000001
2019;13;1;2;17;1;0;0;2.7266784128733;7;11000001
2019;14;1;5;2;1;0;0;3.62921111052856;7;11000001
2019;15;1;5;2;1;0;0;27.5173742524348;13;11000002
2019;16;1;5;18;1;0;;20.9110683402978;13;11000002
2019;17;1;5;14;1;0;0;28.8405636001844;13;11000002
2019;18;1;5;3;1;0;;25.3067361362046;7;11000002
2019;19;1;5;71;1;0;0;12.4108457660768;7;11000002
2019;20;1;5;26;1;0;0;3.95063386997208;7;11000002
2019;21;1;5;17;1;0;;33.9955035139574;7;11000002
2019;22;1;6;14;1;0;0;24.548363163718;7;11000003
2019;23;1;5;;1;1;0;39.902033124119;18;11000003
2019;24;1;5;1;0;0;1;27.2568776408443;8;11000003
2019;25;1;;70;1;0;0;9.15283565782011;7;11000003
2019;26;1;5;17;0;0;0;23.6823092059931;7;11000003
2019;27;1;6;;1;;0;45.1045250012539;13;11000003
2019;28;1;5;;1;0;0;17.5678905230016;7;11000003
2019;29;1;5;18;1;0;0;5.42371188523248;9;11000004
2019;30;1;5;27;1;0;0;1.89681052230299;12;11000004
2019;31;1;5;;1;0;;38.6752495290712;13;11000004
2019;32;1;5;16;1;0;0;39.9242602665909;13;11000004
2019;33;1;5;16;1;0;;10.9729156785179;13;11000004
2019;34;1;5;2;;;0;28.0572778297355;8;11000004
2019;35;1;5;15;1;0;0;13.366265374003;13;11000004
2019;36;1;5;;1;0;0;23.4844342377037;7;11000005
2019;37;1;5;;1;;0;18.7706779981963;7;11000005
2019;38;1;3;18;1;0;0;19.0054895870853;13;11000005
2019;39;1;5;27;1;0;0;19.3948860666715;7;11000005
2019;40;1;5;41;1;0;0;21.7859883987112;13;11000005
2019;41;1;5;2;1;0;0;20.3785551271867;7;11000005
2019;42;1;1;;1;0;0;9.29183139721863;7;11000005
2019;43;1;5;2;;0;0;11.8860873896629;7;11000006
2019;44;1;5;18;1;0;0;11.5376294953749;7;11000006
2019;45;1;5;;1;0;0;12.1380883143283;7;11000006
2019;46;1;5;18;;0;1;21.0552823761245;13;11000006
2019;47;1;1;;1;0;0;19.2870475563686;7;11000006
2019;48;1;5;70;1;0;0;39.6792128803209;7;11000006
2019;49;1;5;15;1;0;0;20.3962342711166;7;11000006
2019;50;1;5;25;1;0;0;23.4431553366594;7;11000007
2019;51;1;5;14;1;0;1;2.90123105747625;19;11000007
2019;52;1;5;30;;0;0;15.8332312400453;7;11000007
2019;53;1;5;20;1;0;0;22.7959930351935;13;11000007
2019;54;1;5;26;1;0;0;23.6331412501168;7;11000007
2019;55;1;5;1;;0;0;14.2885779975913;7;11000007
2019;56;1;5;1;1;0;0;7.32996305590496;13;11000007
2019;57;1;5;16;1;0;0;28.5709302118048;7;11000008
2019;58;1;5;;1;0;0;13.410045703873;7;11000008
2019;59;1;5;1;1;0;0;9.03410407854244;7;11000008
2019;60;1;5;18;0;0;0;22.0376055643428;7;11000008
2019;61;1;5;68;1;0;0;21.4940579715185;7;11000008
2019;62;1;5;15;1;0;0;31.3350186441094;7;11000008
2019;63;1;5;25;;0;0;14.952796170488;7;11000008
2019;64;1;5;16;1;;0;24.9379347086651;13;11000009
2019;65;1;5;1;0;0;0;0.773572402540594;12;11000009
2019;66;1;5;70;1;0;0;29.9417894621147;15;11000009
2019;67;1;5;1;1;0;0;5.74642654974014;13;11000009
2019;68;1;5;21;0;0;0;23.8690820216434;13;11000009
2019;69;1;5;21;;1;;18.850321206497;7;11000009
2019;70;1;5;18;1;0;;10.6050612721592;7;11000009
2019;71;1;5;14;1;0;0;10.463639765745;7;11000010
2019;72;1;5;18;;0;;24.2428661949234;7;11000010
2019;73;1;5;2;0;0;0;20.3947903532535;13;11000010
2019;74;1;1;3;1;0;1;15.6329452423379;7;11000010
2019;75;1;5;;1;0;0;20.0002660942264;7;11000010
2019;76;1;5;2;1;1;0;14.8658749440219;13;11000010
2019;77;1;5;15;1;0;0;15.4764207990374;13;11000010
