NU_ANO;ID_TURMA;TP_MEDIACAO_DIDATICO_PEDAGO;NU_DIAS_ATIVIDADE;TP_ETAPA_ENSINO;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;QT_MATRICULAS;CO_ENTIDADE
2024;50000001;1;5;19;1;1;;11.3945818901993;11000000
2024;50000002;1;5;;1;;0;28.4554307878716;11000000
2024;50000003;1;5;70;1;0;;20.6783524900675;11000000
2024;50000004;1;5;2;1;0;;31.3428201799979;11000000
2024;50000005;1;5;1;1;0;0;19.3353947327705;11000000
2024;50000006;1;6;2;1;;0;17.4900010798592;11000000
2024;50000007;1;5;;1;;0;44.3541621337645;11000000
2024;50000008;1;5;17;1;;0;5.77428009011783;11000001
2024;50000009;1;5;41;;0;;6.15014111273922;11000001
2024;50000010;1;5;2;1;0;0;15.2549598761834;11000001
2024;50000011;1;5;15;1;0;;26.5036245062947;11000001
2024;50000012;1;5;16;1;0;;26.4583320706151;11000001
2024;50000013;1;5;18;1;;0;1.5651231398806;11000001
2024;50000014;1;;14;1;0;0;30.2469412179198;11000001
2024;50000015;1;5;;1;0;0;10.1741171022877;11000002
2024;50000016;1;5;25;1;0;0;28.5445889172843;11000002
2024;50000017;1;5;21;1;0;;14.2045814008452;11000002
2024;50000018;1;5;15;1;0;0;18.6205123830587;11000002
2024;50000019;1;5;1;1;0;0;29.2936841625487;11000002
2024;50000020;1;5;1;1;0;0;21.5717992832651;11000002
2024;50000021;1;5;19;0;0;0;20.6841081060702;11000002
2024;50000022;1;5;2;0;0;0;45.7882368927822;11000003
2024;50000023;1;5;27;0;0;0;20.4089860880049;11000003
2024;50000024;1;6;;1;;0;14.6477293822682;11000003
2024;50000025;1;5;1;;;0;13.5004289261997;11000003
2024;50000026;1;5;20;;;;10.5161379021592;11000003
2024;50000027;3;5;17;1;0;0;17.8875966131454;11000003
2024;50000028;1;5;;1;;;5.82813056127634;11000003
2024;50000029;1;5;;1;0;0;7.61031858739443;11000004
2024;50000030;1;5;18;;0;;12.3081943794386;11000004
2024;50000031;1;5;30;1;0;0;10.725814763573;11000004
2024;50000032;1;1;27;1;;0;11.0847522871336;11000004
2024;50000033;1;5;16;1;0;0;11.3463074364699;11000004
2024;50000034;1;5;21;1;0;;31.8356580566615;11000004
2024;50000035;1;5;;;0;0;43.762343690265;11000004
2024;50000036;1;5;2;1;0;0;5.63222526281606;11000005
2024;50000037;1;5;1;0;;0;20.2986832294846;11000005
