table;year;column;n;n_missing;pct_missing;min;max;mean;median;p1;p99
BAS_ESCOLA;2019;NU_ANO;31;0;0;2019;2019;2019;2019;2019;2019
BAS_ESCOLA;2019;CO_ENTIDADE;31;0;0;;;;;;
BAS_ESCOLA;2019;TP_SITUACAO_FUNCIONAMENTO;31;0;0;1;4;1.7419;1;1;4
BAS_ESCOLA;2019;TP_FALTANTE;31;4;12.903;0;2;0.1111;0;0;1.74
BAS_ESCOLA;2019;CO_UF;31;0;0;;;;;;
BAS_ESCOLA;2019;CO_MUNICIPIO;31;0;0;;;;;;
BAS_ESCOLA;2019;TP_DEPENDENCIA;31;0;0;2;4;3.129;3;2;4
BAS_ESCOLA;2019;TP_LOCALIZACAO;31;0;0;1;2;1.3871;1;1;2
BAS_ESCOLA;2019;TP_LOCALIZACAO_DIFERENCIADA;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2019;TP_CATEGORIA_ESCOLA_PRIVADA;31;26;83.871;1;4;1.6;1;1;3.88
BAS_ESCOLA;2019;IN_LOCAL_FUNC_PREDIO_ESCOLAR;31;15;48.387;0;1;0.9375;1;0.15;1
BAS_ESCOLA;2019;IN_LOCAL_FUNC_SOCIOEDUCATIVO;31;13;41.935;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_LOCAL_FUNC_UNID_PRISIONAL;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_LOCAL_FUNC_PRISIONAL_SOCIO;31;6;19.355;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_LOCAL_FUNC_GALPAO;31;7;22.581;0;1;0.0417;0;0;0.77
BAS_ESCOLA;2019;IN_LOCAL_FUNC_SALAS_OUTRA_ESC;31;11;35.484;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_LOCAL_FUNC_OUTROS;31;12;38.71;0;1;0.2105;0;0;1
BAS_ESCOLA;2019;IN_PREDIO_COMPARTILHADO;31;14;45.161;0;1;0.0588;0;0;0.84
BAS_ESCOLA;2019;IN_AGUA_POTAVEL;31;8;25.806;0;1;0.8696;1;0;1
BAS_ESCOLA;2019;IN_AGUA_REDE_PUBLICA;31;14;45.161;0;1;0.7647;1;0;1
BAS_ESCOLA;2019;IN_AGUA_POCO_ARTESIANO;31;12;38.71;0;1;0.1579;0;0;1
BAS_ESCOLA;2019;IN_AGUA_CACIMBA;31;14;45.161;0;1;0.0588;0;0;0.84
BAS_ESCOLA;2019;IN_AGUA_FONTE_RIO;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_AGUA_INEXISTENTE;31;9;29.032;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_ENERGIA_REDE_PUBLICA;31;8;25.806;0;1;0.913;1;0;1
BAS_ESCOLA;2019;IN_ENERGIA_GERADOR_FOSSIL;31;12;38.71;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_ENERGIA_RENOVAVEL;31;7;22.581;0;1;0.0417;0;0;0.77
BAS_ESCOLA;2019;IN_ENERGIA_INEXISTENTE;31;10;32.258;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_ESGOTO_REDE_PUBLICA;31;11;35.484;0;1;0.4;0;0;1
BAS_ESCOLA;2019;IN_ESGOTO_FOSSA_SEPTICA;31;15;48.387;0;1;0.375;0;0;1
BAS_ESCOLA;2019;IN_ESGOTO_FOSSA_COMUM;31;16;51.613;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_ESGOTO_FOSSA;31;15;48.387;0;1;0.375;0;0;1
BAS_ESCOLA;2019;IN_ESGOTO_INEXISTENTE;31;13;41.935;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_LIXO_SERVICO_COLETA;31;11;35.484;0;1;0.7;1;0;1
BAS_ESCOLA;2019;IN_LIXO_QUEIMA;31;19;61.29;0;1;0.0833;0;0;0.890000000000001
BAS_ESCOLA;2019;IN_LIXO_ENTERRA;31;14;45.161;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_LIXO_DESTINO_FINAL_PUBLICO;31;11;35.484;0;1;0.15;0;0;1
BAS_ESCOLA;2019;IN_LIXO_DESCARTA_OUTRA_AREA;31;16;51.613;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_TRATAMENTO_LIXO_SEPARACAO;31;13;41.935;0;9;1.2222;0;0;9
BAS_ESCOLA;2019;IN_TRATAMENTO_LIXO_REUTILIZA;31;13;41.935;0;0;0;0;0;0
BAS_ESCOLA;2019;IN_TRATAMENTO_LIXO_RECICLAGEM;31;12;38.71;0;9;0.4737;0;0;7.38
BAS_ESCOLA;2019;IN_TRATAMENTO_LIXO_INEXISTENTE;31;13;41.935;0;9;1.7222;1;0;9
BAS_ESCOLA;2019;IN_BANHEIRO;31;9;29.032;1;1;1;1;1;1
BAS_ESCOLA;2019;IN_BANHEIRO_PNE;31;9;29.032;0;1;0.3182;0;0;1
