table;year;n_in;n_out;n_dupes_removed;n_cols;missing_cols;n_age_invalid;n_sentinel_replaced
BAS_ESCOLA;2019;31;31;0;71;"";0;0
BAS_ESCOLA;2020;31;31;0;71;"";0;0
BAS_ESCOLA;2021;31;31;0;71;"";0;0
BAS_ESCOLA;2022;31;31;0;71;"";0;0
BAS_ESCOLA;2023;31;31;0;71;"";0;0
BAS_ESCOLA;2024;31;31;0;71;"";0;0
BAS_TURMA;2019;217;217;0;10;"";0;0
BAS_TURMA;2020;217;217;0;10;"";0;0
BAS_TURMA;2021;217;217;0;10;"";0;0
BAS_TURMA;2022;217;217;0;10;"";0;0
BAS_TURMA;2023;217;217;0;10;"";0;0
BAS_TURMA;2024;217;217;0;10;"";0;0
BAS_MATRICULA;2019;1000;1000;0;31;"";0;0
BAS_MATRICULA;2020;1000;1000;0;31;"";0;0
BAS_MATRICULA;2021;1000;1000;0;31;"";0;0
BAS_MATRICULA;2022;1000;1000;0;31;"";0;0
BAS_MATRICULA;2023;1000;1000;0;31;"";0;0
BAS_MATRICULA;2024;1000;1000;0;31;"";0;0
BAS_SITUACAO;2019;1000;1000;0;9;"";0;0
BAS_SITUACAO;2020;1000;1000;0;9;"";0;0
BAS_SITUACAO;2021;1000;1000;0;9;"";0;0
BAS_SITUACAO;2022;1000;1000;0;9;"";0;0
BAS_SITUACAO;2023;1000;1000;0;9;"";0;0
