year;feature;n;n_missing;pct_missing;min;max;median;p1;p99
2019;ID_TURMA;848;0;0;;;;;
2019;CO_ENTIDADE;848;0;0;;;;;
2019;CO_PESSOA_FISICA;848;0;0;;;;;
2019;ID_MATRICULA;848;0;0;;;;;
2019;NU_ANO;848;0;0;2019;2019;2019;2019;2019
2019;NU_IDADE_REFERENCIA;848;0;0;4;53;12;4;36.0599999999999
2019;TP_SEXO;848;0;0;1;2;1.5;1;2
2019;TP_COR_RACA;848;0;0;0;5;1;0;3
2019;TP_NACIONALIDADE;848;0;0;1;3;1;1;1
2019;CO_UF_NASC;848;848;100;;;;;
2019;CO_MUNICIPIO_NASC;848;4;0.472;;;;;
2019;CO_PAIS_RESIDENCIA;848;0;0;;;;;
2019;CO_UF_END;848;278;32.783;;;;;
2019;CO_MUNICIPIO_END;848;301;35.495;;;;;
2019;TP_ZONA_RESIDENCIAL;848;0;0;1;2;1;1;2
2019;IN_NECESSIDADE_ESPECIAL;848;0;0;0;1;0;0;1
2019;IN_TRANSPORTE_PUBLICO;848;5;0.59;0;1;0;0;1
2019;IN_TRANSP_BICICLETA;848;699;82.429;0;1;0;0;0
2019;IN_TRANSP_MICRO_ONIBUS;848;698;82.311;0;1;0;0;1
2019;IN_TRANSP_ONIBUS;848;697;82.193;0;1;1;0;1
2019;IN_TRANSP_TR_ANIMAL;848;706;83.255;0;0;0;0;0
2019;IN_TRANSP_VANS_KOMBI;848;681;80.307;0;1;0;0;1
2019;IN_TRANSP_OUTRO_VEICULO;848;682;80.425;0;1;0;0;0.349999999999994
2019;IN_TRANSP_EMBAR_ATE5;848;700;82.547;0;0;0;0;0
2019;IN_TRANSP_EMBAR_5A15;848;712;83.962;0;1;0;0;0.650000000000006
2019;IN_TRANSP_EMBAR_15A35;848;720;84.906;0;1;0;0;0.730000000000004
2019;IN_TRANSP_EMBAR_35;848;711;83.844;0;0;0;0;0
2019;IN_ESPECIAL_EXCLUSIVA;848;58;6.84;0;1;0;0;0
2019;IN_REGULAR;848;0;0;1;1;1;1;1
2019;IN_EJA;848;61;7.193;0;1;0;0;1
2019;IN_PROFISSIONALIZANTE;848;64;7.547;0;1;0;0;1
2019;TP_ETAPA_ENSINO;848;126;14.858;1;72;17;1;71
2019;NU_DIAS_ATIVIDADE;848;0;0;1;6;5;1;5
