CO_PESSOA_FISICA;ID_TURMA;ID_MATRICULA;NU_ANO;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;CO_ENTIDADE;TP_SITUACAO;TP_ETAPA_ENSINO;NU_DIAS_ATIVIDADE;QT_ESCOLAS_ANO;IN_TRANSFERIDO;IN_CONCLUINTE_FINAL;IN_FALECIDO;N_MATRICULAS_REG;IN_TROCA_ESCOLA;evadiu
1000000001;70000054;700000001;2024;28;2;2;1;;00000612;00000004;00000027;00003122;1;0;0;;;;;;;;;;0;0;1;0;0;11000007;;41;5;1;0;0;0;1;0;
1000000004;70000138;700000002;2024;13;1;3;1;;00001882;00000006;00000023;00004754;1;0;0;;;;;;;;0;0;0;0;1;0;0;11000019;;17;5;1;0;0;0;1;0;
1000000005;70000187;700000003;2024;14;2;1;1;;00004568;00000008;00000007;;1;0;0;;0;;;;;;;;;0;1;0;0;11000026;;14;5;1;0;0;0;1;0;
1000000006;70000187;700000004;2024;11;2;3;1;;00002431;00000005;;00001356;1;0;0;;;;;;;;;0;;;1;0;0;11000026;;14;5;1;0;0;0;1;0;
1000000007;70000021;700000005;2024;21;2;3;1;;00002919;00000002;00000025;00004597;2;0;0;;;;;0;;;;;;0;1;0;;11000002;;;5;1;0;0;0;1;0;
1000000008;70000028;700000006;2024;13;1;3;1;;00002684;00000002;;00003721;1;0;0;;;;;;;0;;;;0;1;0;0;11000003;;15;5;1;0;0;0;1;0;
1000000009;70000090;700000007;2024;12;1;0;1;;00005428;00000005;00000012;00005101;1;0;;;0;;;;0;;0;;0;0;1;0;0;11000012;;1;5;1;0;0;0;1;0;
1000000017;70000082;700000010;2024;19;1;0;1;;00005142;00000002;00000017;00004593;1;0;0;;;0;;;;;;0;;0;1;0;0;11000011;;18;5;1;0;0;0;1;0;
1000000021;70000057;700000011;2024;21;2;1;1;;00005012;00000008;00000027;00002917;1;0;0;;;;;;;;0;;0;0;1;0;0;11000008;;20;5;1;0;0;0;1;0;
1000000026;70000167;700000012;2024;22;2;3;1;;00001361;00000006;00000013;;1;0;0;0;;0;;;;0;;;;0;1;0;0;11000023;;15;5;1;0;0;0;1;0;
1000000028;70000027;700000014;2024;15;1;1;1;;00005518;00000003;00000013;00001440;1;0;0;;;;;;;;1;;0;0;1;0;0;11000003;;18;5;1;0;0;0;1;0;
1000000029;70000196;700000015;2024;10;1;1;1;;00005459;00000008;00000006;;1;0;1;;;;;0;;;;;;0;1;0;0;11000027;;;5;1;0;0;0;1;0;
1000000030;70000203;700000016;2024;11;2;0;1;;00001052;00000005;00000005;00002581;1;0;0;;;;;;;;0;;;0;1;0;0;11000028;;1;5;1;0;0;0;1;0;
1000000033;70000142;700000018;2024;12;2;0;1;;00002014;00000002;;00001626;1;0;0;;0;;;;;;0;0;;0;1;0;0;11000020;;27;5;1;0;0;0;1;0;
1000000035;70000014;700000019;2024;10;2;1;1;;00003723;00000009;00000023;;2;0;1;0;;1;;0;;;;0;;;1;;0;11000001;;2;5;1;0;0;0;1;0;
1000000036;70000213;700000020;2024;20;2;1;1;;00005385;00000009;00000001;00004668;2;0;0;;;;0;;;0;1;;;0;1;0;0;11000030;;40;5;1;0;0;0;1;0;
1000000037;70000180;700000021;2024;17;1;3;1;;00001423;00000006;00000003;00002395;1;0;;;0;;;;;;0;;;;1;0;0;11000025;;;5;1;0;0;0;1;0;
1000000039;70000091;700000022;2024;23;1;1;1;;00005336;00000006;;00002398;1;0;0;;;;;;;;;0;;0;1;0;0;11000012;;1;2;1;0;0;0;1;0;
1000000046;70000127;700000023;2024;9;1;0;1;;00001218;00000007;00000007;00002569;1;0;0;;;1;0;0;;;;;;0;1;0;0;11000018;;20;5;1;0;0;0;1;0;
1000000047;70000151;700000024;2024;13;2;1;1;;00001892;00000009;00000001;00002638;1;0;0;0;;1;;;;;0;;;0;1;0;0;11000021;;17;5;1;0;0;0;1;0;
1000000049;70000159;700000025;2024;13;1;1;1;;00003149;00000008;00000018;00004251;1;0;0;;;;;;;;;;;0;1;0;0;11000022;;;5;1;0;0;0;1;0;
1000000050;70000215;700000026;2024;16;1;0;1;;00003113;00000006;;00005191;1;0;0;0;;;;;;;;;0;0;1;0;0;11000030;;;5;1;0;0;0;1;0;
1000000053;70000051;700000027;2024;24;1;0;1;;00000428;00000002;00000003;00003172;1;0;0;;;;;;;;0;;;0;1;0;0;11000007;;25;1;1;0;0;0;1;0;
1000000055;70000199;700000028;2024;11;1;1;1;;00000434;00000008;;;1;0;0;0;;;0;;0;;0;;;0;1;0;0;11000028;;25;5;1;0;0;0;1;0;
1000000056;70000168;700000029;2024;12;1;0;1;;00004859;00000008;;;1;0;0;;;;;;;;;;;0;1;0;0;11000023;;2;1;1;0;0;0;1;0;
1000000057;70000016;700000030;2024;21;2;3;1;;00005088;00000004;;;2;0;0;;;;;;0;;;;;0;1;0;0;11000002;;20;5;1;0;0;0;1;0;
1000000060;70000120;700000031;2024;12;1;1;1;;00000965;00000008;00000015;00001606;1;0;0;;;;0;;;;;;;0;1;0;0;11000017;;40;5;1;0;0;0;1;0;
1000000064;70000022;700000032;2024;10;1;3;1;;00000891;00000006;00000018;00000689;1;0;0;;0;;;;;;;;0;;1;0;0;11000003;;2;5;1;0;0;0;1;0;
1000000065;70000110;700000033;2024;21;1;3;1;;00004510;00000004;00000006;00002508;1;0;1;;;;;;0;;;;;0;1;1;0;11000015;;;5;1;0;0;0;1;0;
1000000066;70000212;700000034;2024;18;2;3;1;;00002121;00000006;;00001738;2;0;0;0;;;;;;;;;;0;1;0;0;11000030;;18;3;1;0;0;0;1;0;
1000000067;70000173;700000035;2024;10;1;3;1;;00001958;00000006;00000006;00003087;1;0;0;;;;0;;;;;;;0;1;0;0;11000024;;17;5;1;0;0;0;1;0;
1000000069;70000022;700000036;2024;17;1;0;1;;00005442;00000007;00000025;00003841;1;0;0;;;1;;;;;;0;;0;1;0;0;11000003;;2;5;1;0;0;0;1;0;
1000000072;70000186;700000038;2024;17;2;3;1;;00005257;00000004;00000025;00002680;1;0;1;;;1;;;;;;;;0;1;0;0;11000026;;27;5;1;0;0;0;1;0;
1000000073;70000140;700000039;2024;15;1;3;1;;00003307;00000008;00000022;00001482;1;0;0;;;;;;;0;;;;;1;0;0;11000019;;1;5;1;0;0;0;1;0;
1000000074;70000058;700000040;2024;17;2;0;1;;00000871;00000003;00000027;00004155;1;0;0;0;;;;;;;;;;0;1;0;0;11000008;;27;5;1;0;0;0;1;0;
1000000077;70000120;700000042;2024;16;1;0;1;;00003522;00000002;00000002;00001974;1;0;0;0;;;;0;;;;;0;0;1;0;0;11000017;;40;5;1;0;0;0;1;0;
1000000078;70000187;700000043;2024;14;1;0;1;;00003303;00000007;00000021;00005413;1;0;0;0;;1;;;;;;;;0;1;0;0;11000026;;14;5;1;0;0;0;1;0;
1000000080;70000063;700000045;2024;23;1;3;1;;00000239;00000002;;00002852;1;0;0;0;;;;;;;;;0;0;1;0;1;11000008;;69;5;1;0;0;0;1;0;
