model;year;bin;n;mean_pred;obs_rate
logit;2023;[0,0.1];665;0.0800787671639555;0.0661654135338346
logit;2023;(0.1,0.2];154;0.112445460301365;0.168831168831169
logit;2023;(0.2,0.3];4;0.229221722773878;0
logit;2023;(0.3,0.4];1;0.314665821344885;0
gam;2023;[0,0.1];649;0.0582626117928243;0.0724191063174114
gam;2023;(0.1,0.2];135;0.123027117333365;0.148148148148148
gam;2023;(0.5,0.6];2;0.549543331597862;0
gam;2023;(0.4,0.5];1;0.404016266245658;0
gam;2023;(0.9,1];30;1;0.0333333333333333
gam;2023;(0.3,0.4];2;0.311681629016818;0
gam;2023;(0.7,0.8];2;0.722559896920967;0
gam;2023;(0.2,0.3];3;0.230632270327842;0.666666666666667
lgb;2023;[0,0.1];660;0.0765622839251804;0.0696969696969697
lgb;2023;(0.1,0.2];164;0.118202098737687;0.146341463414634
