CO_ENTIDADE;CO_MUNICIPIO;CO_UF;CO_REGIAO;CO_DISTRITO;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;TP_SITUACAO_FUNCIONAMENTO;NO_ENTIDADE;IN_AGUA_POTAVEL;IN_ENERGIA_REDE_PUBLICA;IN_ESGOTO_REDE_PUBLICA;IN_LIXO_SERVICO_COLETA;IN_BIBLIOTECA;IN_BIBLIOTECA_SALA_LEITURA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_QUADRA_ESPORTES;IN_INTERNET;IN_BANDA_LARGA;IN_COMPUTADOR;IN_ALIMENTACAO;IN_BANHEIRO;IN_BANHEIRO_PNE;IN_SALA_DIRETORIA;IN_SALA_PROFESSOR;IN_SECRETARIA;IN_COZINHA;IN_REFEITORIO;IN_ENERGIA_INEXISTENTE;IN_AGUA_INEXISTENTE;QT_SALAS_UTILIZADAS;QT_SALAS_UTILIZADAS_DENTRO;QT_SALAS_UTILIZADAS_FORA;QT_SALAS_UTILIZA_CLIMATIZADAS;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;IN_ESPECIAL_EXCLUSIVA;IN_ESCOLARIZACAO;IN_MEDIACAO_PRESENCIAL;IN_MEDIACAO_SEMIPRESENCIAL;IN_MEDIACAO_EAD;IN_COMUM_FUND_AI;IN_COMUM_FUND_AF;IN_COMUM_MEDIO_MEDIO;NU_ANO
10000001;1200401;12;1;120040102;4;1;0;1;ESCOLA SINTETICA 10000001;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;29;23;6;8;1;1;0;0;1;1;0;0;1;1;0;2019
10000002;1100205;11;1;110020501;3;2;0;1;ESCOLA SINTETICA 10000002;0;1;1;0;1;1;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;12;9;3;1;1;1;0;0;1;1;0;0;1;1;1;2019
10000003;3509502;35;3;350950204;4;1;0;1;ESCOLA SINTETICA 10000003;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;26;21;5;8;1;0;0;0;1;1;0;0;1;1;0;2019
10000004;4106902;41;4;410690203;3;1;0;1;ESCOLA SINTETICA 10000004;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;19;17;2;4;1;1;0;0;1;1;0;0;1;1;1;2019
10000005;2304400;23;2;230440005;3;2;1;1;ESCOLA SINTETICA 10000005;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;1;0;2;1;1;0;1;0;0;0;1;1;0;0;1;1;0;2019
10000006;2507507;25;2;250750702;3;1;0;1;ESCOLA SINTETICA 10000006;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;9;7;2;2;1;0;1;0;1;1;0;0;0;1;0;2019
10000007;2927408;29;2;292740804;3;1;0;1;ESCOLA SINTETICA 10000007;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;18;15;3;9;1;1;0;0;1;1;0;0;1;0;0;2019
10000008;3205309;32;3;320530902;3;1;0;1;ESCOLA SINTETICA 10000008;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;19;16;3;6;1;0;0;0;1;1;0;0;1;0;1;2019
10000009;2800308;28;2;280030803;4;1;0;1;ESCOLA SINTETICA 10000009;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;30;29;1;0;1;0;0;0;1;1;0;0;1;1;0;2019
10000010;2927408;29;2;292740802;2;1;0;1;ESCOLA SINTETICA 10000010;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;10;9;1;4;1;0;0;0;1;1;0;0;1;1;1;2019
10000011;2111300;21;2;211130001;3;1;0;1;ESCOLA SINTETICA 10000011;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;20;18;2;9;1;0;0;0;1;1;0;0;1;1;0;2019
10000012;2927408;29;2;292740804;2;2;0;1;ESCOLA SINTETICA 10000012;1;1;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;14;13;1;1;1;1;0;0;1;1;0;0;1;1;0;2019
10000013;1100205;11;1;110020505;4;1;0;1;ESCOLA SINTETICA 10000013;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;0;14;12;2;7;1;0;0;0;1;1;0;0;1;1;0;2019
10000014;3509502;35;3;350950202;3;1;0;1;ESCOLA SINTETICA 10000014;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;9;7;2;1;1;0;0;0;1;1;0;0;1;0;0;2019
10000015;2704302;27;2;270430201;2;1;0;1;ESCOLA SINTETICA 10000015;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;4;3;1;2;1;1;0;0;1;1;0;0;0;0;0;2019
10000016;1100205;11;1;110020501;3;1;0;1;ESCOLA SINTETICA 10000016;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;4;3;1;2;1;1;0;0;1;1;0;0;1;1;0;2019
10000017;5103403;51;5;510340305;3;1;0;1;ESCOLA SINTETICA 10000017;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;16;14;2;3;1;0;0;0;1;1;0;0;0;1;0;2019
10000018;3205309;32;3;320530903;4;1;0;1;ESCOLA SINTETICA 10000018;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;6;5;1;0;1;0;1;0;1;1;0;0;1;0;1;2019
10000019;2704302;27;2;270430204;3;2;1;1;ESCOLA SINTETICA 10000019;0;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;13;12;1;0;1;1;0;0;1;1;0;0;1;1;0;2019
10000020;2408102;24;2;240810202;3;2;0;1;ESCOLA SINTETICA 10000020;0;0;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;18;15;3;0;1;1;0;0;1;1;0;0;1;1;0;2019
10000021;1302603;13;1;130260301;4;1;0;1;ESCOLA SINTETICA 10000021;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;27;25;2;9;1;0;0;0;1;1;0;0;1;0;1;2019
10000022;3205309;32;3;320530905;3;2;0;1;ESCOLA SINTETICA 10000022;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;12;10;2;3;1;0;1;0;1;1;0;0;1;0;0;2019
10000023;5002704;50;5;500270403;3;2;0;1;ESCOLA SINTETICA 10000023;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;0;1;15;12;3;0;1;1;0;0;1;1;0;0;1;1;1;2019
