NU_ANO;ID_MATRICULA;CO_PESSOA_FISICA;ID_TURMA;CO_ENTIDADE;CO_UF;CO_MUNICIPIO;TP_DEPENDENCIA;IN_REGULAR;TP_SITUACAO;IN_CONCLUINTE;IN_TRANSFERIDO
2019;200000001;100000176;201910000001002;10000001;12;1200401;4;1;5;1;0
2019;200000002;100000206;201910000001001;10000001;12;1200401;4;1;4;0;0
2019;200000003;100000476;201910000001003;10000001;12;1200401;4;1;5;0;0
2019;200000004;100000734;201910000001004;10000001;12;1200401;4;1;4;0;0
2019;200000005;100000815;201910000001001;10000001;12;1200401;4;1;5;0;0
2019;200000006;100000887;201910000001003;10000001;12;1200401;4;1;5;0;0
2019;200000007;100000117;201910000002002;10000002;11;1100205;3;1;5;0;0
2019;200000008;100000251;201910000002001;10000002;11;1100205;3;1;5;1;0
2019;200000009;100000465;201910000002002;10000002;11;1100205;3;1;5;1;0
2019;200000010;100000477;201910000002001;10000002;11;1100205;3;1;5;1;0
2019;200000011;100000502;201910000002002;10000002;11;1100205;3;1;5;0;0
2019;200000012;100000567;201910000002002;10000002;11;1100205;3;1;5;0;0
2019;200000013;100000020;201910000003003;10000003;35;3509502;4;1;5;0;0
2019;200000014;100000072;201910000003001;10000003;35;3509502;4;1;5;0;0
2019;200000015;100000305;201910000003002;10000003;35;3509502;4;1;4;0;0
2019;200000016;100000416;201910000003002;10000003;35;3509502;4;1;5;0;0
2019;200000017;100000520;201910000003003;10000003;35;3509502;4;0;5;0;0
2019;200000018;100000677;201910000003003;10000003;35;3509502;4;1;5;0;0
2019;200000019;100000786;201910000003001;10000003;35;3509502;4;1;5;0;0
2019;200000020;100000978;201910000003002;10000003;35;3509502;4;1;5;1;0
2019;200000021;100000006;201910000004002;10000004;41;4106902;3;0;5;0;0
2019;200000022;100000233;201910000004001;10000004;41;4106902;3;1;5;0;0
2019;200000023;100000260;201910000004002;10000004;41;4106902;3;1;5;0;0
2019;200000024;100000263;201910000004002;10000004;41;4106902;3;1;5;0;0
2019;200000025;100000399;201910000004002;10000004;41;4106902;3;0;5;1;0
2019;200000026;100000411;201910000004002;10000004;41;4106902;3;1;5;0;0
2019;200000027;100000432;201910000004002;10000004;41;4106902;3;1;5;0;0
2019;200000028;100000708;201910000004001;10000004;41;4106902;3;1;5;0;0
2019;200000029;100000723;201910000004001;10000004;41;4106902;3;1;5;0;0
2019;200000030;100000726;201910000004002;10000004;41;4106902;3;1;5;1;0
2019;200000031;100000749;201910000004001;10000004;41;4106902;3;1;5;1;0
2019;200000032;100000891;201910000004002;10000004;41;4106902;3;1;5;1;0
2019;200000033;100000272;201910000005002;10000005;23;2304400;3;1;5;0;0
2019;200000034;100000273;201910000005002;10000005;23;2304400;3;1;2;0;0
2019;200000035;100000387;201910000005005;10000005;23;2304400;3;1;5;0;0
2019;200000036;100000489;201910000005003;10000005;23;2304400;3;1;5;0;0
2019;200000037;100000057;201910000006001;10000006;25;2507507;3;1;5;0;0
2019;200000038;100000143;201910000006003;10000006;25;2507507;3;1;5;0;0
2019;200000039;100000177;201910000006005;10000006;25;2507507;3;1;5;0;0
2019;200000040;100000614;201910000006001;10000006;25;2507507;3;1;5;0;0
2019;200000041;100000820;201910000006003;10000006;25;2507507;3;1;5;0;0
2019;200000042;100000993;201910000006004;10000006;25;2507507;3;1;5;0;0
2019;200000043;100000168;201910000007002;10000007;29;2927408;3;1;5;0;0
2019;200000044;100000214;201910000007004;10000007;29;2927408;3;1;5;0;0
2019;200000045;100000355;201910000007002;10000007;29;2927408;3;0;4;0;0
2019;200000046;100000537;201910000007002;10000007;29;2927408;3;1;5;0;0
2019;200000047;100000068;201910000008002;10000008;32;3205309;3;1;5;0;0
2019;200000048;100000199;201910000008001;10000008;32;3205309;3;1;4;0;0
2019;200000049;100000367;201910000008002;10000008;32;3205309;3;1;5;0;0
2019;200000050;100000556;201910000008001;10000008;32;3205309;3;1;5;0;0
2019;200000051;100000742;201910000008002;10000008;32;3205309;3;1;5;0;0
2019;200000052;100000743;201910000008002;10000008;32;3205309;3;0;2;0;0
2019;200000053;100000845;201910000008001;10000008;32;3205309;3;1;2;0;0
2019;200000054;100000849;201910000008001;10000008;32;3205309;3;1;5;0;0
2019;200000055;100000050;201910000009002;10000009;28;2800308;4;1;5;0;0
2019;200000056;100000121;201910000009001;10000009;28;2800308;4;1;5;0;0
2019;200000057;100000151;201910000009001;10000009;28;2800308;4;1;5;0;0
2019;200000058;100000180;201910000009002;10000009;28;2800308;4;1;5;0;0
2019;200000059;100000181;201910000009001;10000009;28;2800308;4;1;5;0;0
2019;200000060;100000218;201910000009001;10000009;28;2800308;4;1;5;0;0
