NU_ANO;ID_TURMA;CO_ENTIDADE;TP_ETAPA_ENSINO;TP_MEDIACAO_DIDATICO_PEDAGO;TP_TIPO_ATENDIMENTO_TURMA;NU_DURACAO_TURMA;NU_DIAS_ATIVIDADE
2019;201910000001001;10000001;21;1;1;281;5
2019;201910000001002;10000001;71;1;1;219;4
2019;201910000001003;10000001;17;1;1;234;5
2019;201910000001004;10000001;69;1;1;266;4
2019;201910000002001;10000002;69;1;1;252;5
2019;201910000002002;10000002;70;1;1;230;4
2019;201910000003001;10000003;16;1;1;200;5
2019;201910000003002;10000003;19;1;1;263;4
2019;201910000003003;10000003;18;1;1;214;5
2019;201910000003004;10000003;20;1;1;250;5
2019;201910000004001;10000004;19;1;1;231;5
2019;201910000004002;10000004;20;1;1;203;4
2019;201910000005001;10000005;16;1;1;289;4
2019;201910000005002;10000005;18;1;1;255;5
2019;201910000005003;10000005;21;1;1;273;4
2019;201910000005004;10000005;14;1;1;298;4
2019;201910000005005;10000005;17;1;1;276;4
2019;201910000006001;10000006;20;1;1;246;5
2019;201910000006002;10000006;41;1;1;268;5
2019;201910000006003;10000006;21;1;1;210;5
2019;201910000006004;10000006;21;1;1;267;5
2019;201910000006005;10000006;41;1;1;211;4
2019;201910000007001;10000007;71;1;1;248;4
2019;201910000007002;10000007;16;1;1;253;5
2019;201910000007003;10000007;71;1;1;276;4
2019;201910000007004;10000007;71;1;1;284;4
2019;201910000008001;10000008;26;1;1;293;4
2019;201910000008002;10000008;18;1;1;264;4
2019;201910000009001;10000009;20;1;1;269;4
2019;201910000009002;10000009;17;1;1;273;5
2019;201910000010001;10000010;41;1;1;214;5
2019;201910000010002;10000010;14;1;1;238;4
2019;201910000010003;10000010;41;1;1;232;5
2019;201910000010004;10000010;21;1;1;292;4
2019;201910000010005;10000010;20;1;1;219;5
2019;201910000011001;10000011;19;1;1;281;4
2019;201910000011002;10000011;20;1;1;275;5
2019;201910000011003;10000011;20;1;1;220;4
2019;201910000012001;10000012;70;1;1;264;4
2019;201910000012002;10000012;41;1;1;231;5
2019;201910000013001;10000013;16;1;1;277;5
2019;201910000013002;10000013;21;1;1;235;4
2019;201910000014001;10000014;18;1;1;249;5
2019;201910000014002;10000014;16;1;1;208;5
2019;201910000014003;10000014;17;1;1;275;5
2019;201910000015001;10000015;69;1;1;237;5
2019;201910000015002;10000015;70;1;1;242;5
2019;201910000015003;10000015;71;1;1;217;5
2019;201910000015004;10000015;71;1;1;278;4
2019;201910000015005;10000015;69;1;1;249;5
2019;201910000016001;10000016;69;1;1;207;4
2019;201910000016002;10000016;17;1;1;233;5
2019;201910000017001;10000017;21;1;1;236;5
2019;201910000017002;10000017;19;1;1;241;5
2019;201910000018001;10000018;16;1;1;212;5
2019;201910000018002;10000018;14;1;1;243;4
2019;201910000018003;10000018;17;1;1;285;4
2019;201910000018004;10000018;16;1;1;267;5
2019;201910000018005;10000018;27;1;1;241;5
2019;201910000019001;10000019;70;1;1;263;5
2019;201910000019002;10000019;69;1;1;246;5
2019;201910000019003;10000019;16;1;1;217;4
2019;201910000020001;10000020;71;1;1;230;5
2019;201910000020002;10000020;69;1;1;285;4
2019;201910000021001;10000021;25;1;1;203;5
2019;201910000021002;10000021;15;1;1;273;4
2019;201910000021003;10000021;18;1;1;278;4
2019;201910000021004;10000021;18;1;1;274;5
2019;201910000021005;10000021;17;1;1;252;4
2019;201910000022001;10000022;17;1;1;291;5
2019;201910000022002;10000022;17;1;1;272;4
2019;201910000022003;10000022;15;1;1;219;4
2019;201910000022004;10000022;14;1;1;247;5
2019;201910000022005;10000022;18;1;1;292;4
2019;201910000023001;10000023;14;1;1;221;5
2019;201910000023002;10000023;69;1;1;221;4
2019;201910000023003;10000023;19;1;1;203;5
2019;201910000024001;10000024;19;1;1;293;5
2019;201910000024002;10000024;41;1;1;254;5
2019;201910000024003;10000024;41;1;1;287;4
2019;201910000024004;10000024;41;1;1;249;5
2019;201910000024005;10000024;19;1;1;293;4
2019;201910000025001;10000025;14;1;1;203;4
2019;201910000025002;10000025;18;1;1;234;4
2019;201910000025003;10000025;16;1;1;247;5
2019;201910000025004;10000025;14;1;1;264;5
2019;201910000026001;10000026;69;1;1;257;5
2019;201910000026002;10000026;69;1;1;226;5
2019;201910000026003;10000026;71;1;1;243;4
2019;201910000027001;10000027;18;1;1;207;5
2019;201910000027002;10000027;41;1;1;271;5
2019;201910000027003;10000027;16;1;1;202;4
2019;201910000027004;10000027;14;1;1;280;4
2019;201910000028001;10000028;14;1;1;261;4
2019;201910000028002;10000028;17;1;1;287;4
2019;201910000029001;10000029;16;1;1;236;4
2019;201910000029002;10000029;17;1;1;290;5
2019;201910000029003;10000029;18;1;1;296;4
2019;201910000030001;10000030;15;1;1;250;5
2019;201910000030002;10000030;19;1;1;206;5
2019;201910000030003;10000030;19;1;1;263;5
2019;201910000030004;10000030;17;1;1;246;4
2019;201910000030005;10000030;25;1;1;204;5
2019;201910000031001;10000031;18;1;1;275;4
2019;201910000031002;10000031;26;1;1;241;4
2019;201910000031003;10000031;16;1;1;277;4
2019;201910000031004;10000031;20;1;1;296;4
2019;201910000032001;10000032;21;1;1;235;4
2019;201910000032002;10000032;20;1;1;230;5
2019;201910000033001;10000033;19;1;1;253;4
2019;201910000033002;10000033;41;1;1;237;5
2019;201910000033003;10000033;19;1;1;287;4
2019;201910000034001;10000034;19;1;1;297;5
2019;201910000034002;10000034;16;1;1;241;4
2019;201910000035001;10000035;69;1;1;248;4
2019;201910000035002;10000035;26;1;1;218;5
2019;201910000035003;10000035;18;1;1;223;4
2019;201910000035004;10000035;70;1;1;226;4
2019;201910000035005;10000035;15;1;1;300;5
2019;201910000036001;10000036;14;1;1;253;5
2019;201910000036002;10000036;14;1;1;259;4
2019;201910000037001;10000037;41;1;1;280;5
2019;201910000037002;10000037;14;1;1;281;4
2019;201910000037003;10000037;15;1;1;297;4
2019;201910000037004;10000037;14;1;1;246;5
2019;201910000037005;10000037;16;1;1;227;5
2019;201910000038001;10000038;20;1;1;267;5
2019;201910000038002;10000038;20;1;1;209;4
2019;201910000039001;10000039;21;1;1;220;4
2019;201910000039002;10000039;19;1;1;275;5
2019;201910000040001;10000040;25;1;1;277;4
2019;201910000040002;10000040;21;1;1;296;5
2019;201910000040003;10000040;20;1;1;221;5
2019;201910000040004;10000040;27;1;1;276;4
2019;201910000040005;10000040;20;1;1;295;4
2019;201910000041001;10000041;16;1;1;283;4
2019;201910000041002;10000041;16;1;1;231;4
2019;201910000041003;10000041;14;1;1;223;5
2019;201910000041004;10000041;14;1;1;248;5
2019;201910000041005;10000041;18;1;1;281;4
2019;201910000042001;10000042;15;1;1;218;4
2019;201910000042002;10000042;21;1;1;291;5
2019;201910000042003;10000042;15;1;1;245;4
2019;201910000042004;10000042;15;1;1;250;4
2019;201910000043001;10000043;27;1;1;277;4
2019;201910000043002;10000043;18;1;1;210;5
2019;201910000044001;10000044;16;1;1;277;4
2019;201910000044002;10000044;14;1;1;219;5
2019;201910000044003;10000044;17;1;1;263;5
2019;201910000044004;10000044;16;1;1;300;5
2019;201910000045001;10000045;28;1;1;244;5
2019;201910000045002;10000045;28;1;1;265;4
2019;201910000045003;10000045;26;1;1;266;5
2019;201910000045004;10000045;26;1;1;216;5
2019;201910000046001;10000046;26;1;1;236;4
2019;201910000046002;10000046;25;1;1;250;5
2019;201910000046003;10000046;27;1;1;292;5
2019;201910000047001;10000047;41;1;1;255;5
2019;201910000047002;10000047;28;1;1;238;5
2019;201910000047003;10000047;19;1;1;266;4
2019;201910000047004;10000047;20;1;1;300;4
2019;201910000047005;10000047;16;1;1;201;5
2019;201910000048001;10000048;17;1;1;241;4
2019;201910000048002;10000048;70;1;1;281;5
2019;201910000048003;10000048;71;1;1;236;5
2019;201910000048004;10000048;18;1;1;256;5
2019;201910000048005;10000048;14;1;1;223;4
2019;201910000049001;10000049;16;1;1;261;5
