escola_id;n_sigma;R_sigma_logit;R_sigma_gam;R_sigma_lgb;TP_DEPENDENCIA;regiao;group_g;TP_LOCALIZACAO;indice_infra
1;19;1.64741981211135;1.38015630713958;1.73104914730631;4;;NA_4;1;0.692307692307692
2;27;2.42911257857481;2.01237214827835;2.1028148402271;3;;NA_3;1;0.8
3;33;2.97317601175841;2.5832357443268;2.82020521551183;3;;NA_3;1;0.888888888888889
4;38;3.21844040277537;2.37703438827077;3.02726534058206;3;;NA_3;1;0.454545454545455
5;20;1.80108230366513;2.03533702023458;1.60132333683876;2;;NA_2;1;0.636363636363636
6;27;2.31845595881942;1.72299411421742;2.2797728591187;3;;NA_3;1;0.714285714285714
7;30;2.54597887393324;2.09171358078351;2.23149108418884;4;;NA_4;1;0.857142857142857
8;32;2.77355729594823;2.05103300754008;2.56881476985664;3;;NA_3;1;0.5
9;31;2.81798553824851;2.25851039137794;2.66692641211399;3;;NA_3;2;0.642857142857143
10;31;2.71912357734049;1.98896310043173;3.01481166035713;4;;NA_4;2;0.4
11;30;2.58429275312257;1.58697434511867;2.72072962996313;3;;NA_3;2;0.909090909090909
12;27;2.46702783952915;2.25477658157258;2.69615754460519;3;;NA_3;1;0.666666666666667
13;30;2.62850475019457;2.30545562775188;2.47585547591451;3;;NA_3;2;0.444444444444444
14;30;2.46550043660345;1.72125167788845;2.58035970482257;3;;NA_3;2;0.666666666666667
15;20;1.73211442152523;1.51198408568856;1.88321092024895;3;;NA_3;1;0.538461538461538
16;22;1.96823342332689;1.98078461444621;2.02036026385927;2;;NA_2;2;0.909090909090909
17;26;2.43665458651536;2.39070210705639;2.10498405357285;3;;NA_3;1;0.555555555555556
18;31;2.80006627633345;2.14985430984131;3.05003044915066;3;;NA_3;1;0.7
19;18;1.4889593869286;1.28468060235876;1.60636873141868;2;;NA_2;1;0.545454545454545
20;22;1.89064690594131;1.83497393028874;1.87913454108263;2;;NA_2;2;0.615384615384615
21;24;2.02861982806217;1.70242164705073;1.8849831298725;3;;NA_3;2;0.571428571428571
22;27;2.59714137961084;2.77607850721422;2.13834943657736;3;;NA_3;2;0.625
23;30;2.8858198610485;1.92102611267831;2.90859492643358;4;;NA_4;1;0.75
24;25;2.37923503729041;1.43936146991621;2.28978030804662;4;;NA_4;2;0.625
25;15;1.16039902911027;1.15089025246609;1.13568635287296;3;;NA_3;1;0.818181818181818
26;24;2.22887110970461;1.79545953798607;2.16936321965054;3;;NA_3;1;0.363636363636364
27;28;2.27297192137805;1.71026474454039;2.45116289102265;4;;NA_4;1;0.75
28;31;2.67336881065567;1.90259059047478;2.67240539923206;4;;NA_4;1;0.1
29;26;2.21009741398941;1.41337533434288;2.45947835448067;3;;NA_3;2;0.538461538461538
30;27;2.27918353312359;1.81471111718924;2.35230902259824;3;;NA_3;1;0.6
31;29;2.61137753783143;2.34718110427829;2.58244187423957;3;;NA_3;1;0.5
